,attack_sucess_1,attack_sucess_2,total_dmg,avg_dmg,build_name,build_level,target_ac,encounter_num
84,0.9,0.3,67.0,6.7,dwarf barbarian strength,1,10,84
85,1.0,0.4,84.0,8.4,dwarf barbarian strength,1,10,85
86,0.4,0.6,57.0,5.7,dwarf barbarian strength,1,10,86
87,0.7,0.3,58.0,5.8,dwarf barbarian strength,1,10,87
88,0.9,0.4,67.0,6.7,dwarf barbarian strength,1,10,88
89,0.5,0.3,43.0,4.3,dwarf barbarian strength,1,10,89
90,0.6,0.4,58.0,5.8,dwarf barbarian strength,1,10,90
91,0.5,0.7,77.0,7.7,dwarf barbarian strength,1,10,91
92,0.7,0.2,53.0,5.3,dwarf barbarian strength,1,10,92
93,0.8,0.4,71.0,7.1,dwarf barbarian strength,1,10,93
94,0.5,0.3,41.0,4.1,dwarf barbarian strength,1,10,94
95,0.6,0.7,74.0,7.4,dwarf barbarian strength,1,10,95
96,0.7,0.3,56.0,5.6,dwarf barbarian strength,1,10,96
97,0.4,0.7,54.0,5.4,dwarf barbarian strength,1,10,97
98,0.7,0.3,74.0,7.4,dwarf barbarian strength,1,10,98
99,0.6,0.4,56.0,5.6,dwarf barbarian strength,1,10,99
0,0.6,0.4,59.0,5.9,dwarf barbarian strength,1,11,0
1,0.5,0.7,78.0,7.8,dwarf barbarian strength,1,11,1
2,0.7,0.3,63.0,6.3,dwarf barbarian strength,1,11,2
3,0.8,0.4,61.0,6.1,dwarf barbarian strength,1,11,3
4,0.6,0.5,64.0,6.4,dwarf barbarian strength,1,11,4
5,0.5,0.4,47.0,4.7,dwarf barbarian strength,1,11,5
6,0.5,0.5,69.0,6.9,dwarf barbarian strength,1,11,6
7,0.8,0.6,80.0,8.0,dwarf barbarian strength,1,11,7
8,0.8,0.4,63.0,6.3,dwarf barbarian strength,1,11,8
9,0.8,0.4,79.0,7.9,dwarf barbarian strength,1,11,9
10,0.7,0.5,71.0,7.1,dwarf barbarian strength,1,11,10
11,0.9,0.4,69.0,6.9,dwarf barbarian strength,1,11,11
12,0.7,0.7,78.0,7.8,dwarf barbarian strength,1,11,12
13,0.5,0.4,55.0,5.5,dwarf barbarian strength,1,11,13
14,0.9,0.6,95.0,9.5,dwarf barbarian strength,1,11,14
15,0.7,0.3,66.0,6.6,dwarf barbarian strength,1,11,15
16,0.5,0.4,56.0,5.6,dwarf barbarian strength,1,11,16
17,0.4,0.3,45.0,4.5,dwarf barbarian strength,1,11,17
18,1.0,0.6,96.0,9.6,dwarf barbarian strength,1,11,18
19,0.5,0.4,49.0,4.9,dwarf barbarian strength,1,11,19
20,0.9,0.4,66.0,6.6,dwarf barbarian strength,1,11,20
21,0.9,0.4,53.0,5.3,dwarf barbarian strength,1,11,21
22,0.8,0.3,63.0,6.3,dwarf barbarian strength,1,11,22
23,0.4,0.3,45.0,4.5,dwarf barbarian strength,1,11,23
24,0.5,0.5,71.0,7.1,dwarf barbarian strength,1,11,24
25,0.6,0.5,68.0,6.8,dwarf barbarian strength,1,11,25
26,0.6,0.4,79.0,7.9,dwarf barbarian strength,1,11,26
27,0.7,0.5,81.0,8.1,dwarf barbarian strength,1,11,27
28,0.6,0.3,52.0,5.2,dwarf barbarian strength,1,11,28
29,0.3,0.7,58.0,5.8,dwarf barbarian strength,1,11,29
30,0.8,0.4,73.0,7.3,dwarf barbarian strength,1,11,30
31,0.7,0.2,58.0,5.8,dwarf barbarian strength,1,11,31
32,0.9,0.6,94.0,9.4,dwarf barbarian strength,1,11,32
33,0.8,0.5,76.0,7.6,dwarf barbarian strength,1,11,33
34,0.7,0.6,53.0,5.3,dwarf barbarian strength,1,11,34
35,0.8,0.3,50.0,5.0,dwarf barbarian strength,1,11,35
36,0.6,0.4,62.0,6.2,dwarf barbarian strength,1,11,36
37,1.0,0.4,75.0,7.5,dwarf barbarian strength,1,11,37
38,0.8,0.7,73.0,7.3,dwarf barbarian strength,1,11,38
39,0.8,0.6,69.0,6.9,dwarf barbarian strength,1,11,39
40,0.7,0.4,68.0,6.8,dwarf barbarian strength,1,11,40
41,0.7,0.4,72.0,7.2,dwarf barbarian strength,1,11,41
42,0.8,0.6,100.0,10.0,dwarf barbarian strength,1,11,42
43,0.5,0.6,59.0,5.9,dwarf barbarian strength,1,11,43
44,0.8,0.5,107.0,10.7,dwarf barbarian strength,1,11,44
45,0.6,0.5,52.0,5.2,dwarf barbarian strength,1,11,45
46,0.5,0.5,66.0,6.6,dwarf barbarian strength,1,11,46
47,0.6,0.7,83.0,8.3,dwarf barbarian strength,1,11,47
48,0.7,0.5,65.0,6.5,dwarf barbarian strength,1,11,48
49,0.6,0.4,57.0,5.7,dwarf barbarian strength,1,11,49
50,0.8,0.6,69.0,6.9,dwarf barbarian strength,1,11,50
51,0.5,0.5,62.0,6.2,dwarf barbarian strength,1,11,51
52,0.6,0.6,68.0,6.8,dwarf barbarian strength,1,11,52
53,0.9,0.4,74.0,7.4,dwarf barbarian strength,1,11,53
54,0.4,0.1,41.0,4.1,dwarf barbarian strength,1,11,54
55,0.8,0.6,92.0,9.2,dwarf barbarian strength,1,11,55
56,0.6,0.4,50.0,5.0,dwarf barbarian strength,1,11,56
57,0.6,0.5,73.0,7.3,dwarf barbarian strength,1,11,57
58,0.7,0.6,90.0,9.0,dwarf barbarian strength,1,11,58
59,0.8,0.6,72.0,7.2,dwarf barbarian strength,1,11,59
60,0.4,0.2,42.0,4.2,dwarf barbarian strength,1,11,60
61,0.6,0.6,70.0,7.0,dwarf barbarian strength,1,11,61
62,0.8,0.3,67.0,6.7,dwarf barbarian strength,1,11,62
63,0.5,0.3,44.0,4.4,dwarf barbarian strength,1,11,63
64,0.5,0.4,34.0,3.4,dwarf barbarian strength,1,11,64
65,0.5,0.4,59.0,5.9,dwarf barbarian strength,1,11,65
66,0.8,0.6,76.0,7.6,dwarf barbarian strength,1,11,66
67,0.7,0.3,50.0,5.0,dwarf barbarian strength,1,11,67
68,0.7,0.2,61.0,6.1,dwarf barbarian strength,1,11,68
69,0.8,0.5,76.0,7.6,dwarf barbarian strength,1,11,69
70,0.9,0.5,81.0,8.1,dwarf barbarian strength,1,11,70
71,0.5,0.5,56.0,5.6,dwarf barbarian strength,1,11,71
72,0.5,0.6,67.0,6.7,dwarf barbarian strength,1,11,72
73,0.8,0.2,67.0,6.7,dwarf barbarian strength,1,11,73
74,0.9,0.1,59.0,5.9,dwarf barbarian strength,1,11,74
75,0.7,0.6,74.0,7.4,dwarf barbarian strength,1,11,75
76,0.8,0.5,74.0,7.4,dwarf barbarian strength,1,11,76
77,0.7,0.8,79.0,7.9,dwarf barbarian strength,1,11,77
78,0.8,0.5,69.0,6.9,dwarf barbarian strength,1,11,78
79,0.8,0.4,59.0,5.9,dwarf barbarian strength,1,11,79
80,0.9,0.5,64.0,6.4,dwarf barbarian strength,1,11,80
81,0.6,0.6,66.0,6.6,dwarf barbarian strength,1,11,81
82,0.7,0.3,64.0,6.4,dwarf barbarian strength,1,11,82
83,0.6,0.4,60.0,6.0,dwarf barbarian strength,1,11,83
84,0.7,0.2,53.0,5.3,dwarf barbarian strength,1,11,84
85,0.7,0.4,56.0,5.6,dwarf barbarian strength,1,11,85
86,0.6,0.5,63.0,6.3,dwarf barbarian strength,1,11,86
87,0.7,0.6,71.0,7.1,dwarf barbarian strength,1,11,87
88,0.4,0.4,57.0,5.7,dwarf barbarian strength,1,11,88
89,0.5,0.2,41.0,4.1,dwarf barbarian strength,1,11,89
90,0.6,0.3,47.0,4.7,dwarf barbarian strength,1,11,90
91,0.9,0.7,110.0,11.0,dwarf barbarian strength,1,11,91
92,0.7,0.4,75.0,7.5,dwarf barbarian strength,1,11,92
93,0.8,0.3,57.0,5.7,dwarf barbarian strength,1,11,93
94,0.7,0.2,39.0,3.9,dwarf barbarian strength,1,11,94
95,0.7,0.4,69.0,6.9,dwarf barbarian strength,1,11,95
96,0.9,0.7,91.0,9.1,dwarf barbarian strength,1,11,96
97,0.5,0.3,43.0,4.3,dwarf barbarian strength,1,11,97
98,0.8,0.3,80.0,8.0,dwarf barbarian strength,1,11,98
99,0.7,0.4,72.0,7.2,dwarf barbarian strength,1,11,99
0,0.7,0.3,59.0,5.9,dwarf barbarian strength,1,12,0
1,0.4,0.3,50.0,5.0,dwarf barbarian strength,1,12,1
2,0.5,0.3,39.0,3.9,dwarf barbarian strength,1,12,2
3,0.5,0.3,50.0,5.0,dwarf barbarian strength,1,12,3
4,0.7,0.3,54.0,5.4,dwarf barbarian strength,1,12,4
5,0.6,0.5,62.0,6.2,dwarf barbarian strength,1,12,5
6,0.8,0.4,66.0,6.6,dwarf barbarian strength,1,12,6
7,0.5,0.2,49.0,4.9,dwarf barbarian strength,1,12,7
8,0.5,0.2,47.0,4.7,dwarf barbarian strength,1,12,8
9,0.6,0.5,63.0,6.3,dwarf barbarian strength,1,12,9
10,0.6,0.3,48.0,4.8,dwarf barbarian strength,1,12,10
11,0.5,0.3,46.0,4.6,dwarf barbarian strength,1,12,11
12,0.5,0.4,60.0,6.0,dwarf barbarian strength,1,12,12
13,0.7,0.6,83.0,8.3,dwarf barbarian strength,1,12,13
14,0.6,0.5,60.0,6.0,dwarf barbarian strength,1,12,14
15,0.6,0.3,47.0,4.7,dwarf barbarian strength,1,12,15
16,0.5,0.2,49.0,4.9,dwarf barbarian strength,1,12,16
17,0.3,0.6,64.0,6.4,dwarf barbarian strength,1,12,17
18,0.6,0.3,65.0,6.5,dwarf barbarian strength,1,12,18
19,0.3,0.3,42.0,4.2,dwarf barbarian strength,1,12,19
20,0.6,0.4,72.0,7.2,dwarf barbarian strength,1,12,20
21,0.6,0.2,46.0,4.6,dwarf barbarian strength,1,12,21
22,0.8,0.3,71.0,7.1,dwarf barbarian strength,1,12,22
23,0.5,0.2,42.0,4.2,dwarf barbarian strength,1,12,23
24,0.8,0.3,73.0,7.3,dwarf barbarian strength,1,12,24
25,0.4,0.4,41.0,4.1,dwarf barbarian strength,1,12,25
26,0.3,0.4,49.0,4.9,dwarf barbarian strength,1,12,26
27,0.8,0.2,69.0,6.9,dwarf barbarian strength,1,12,27
28,0.8,0.6,100.0,10.0,dwarf barbarian strength,1,12,28
29,0.7,0.5,73.0,7.3,dwarf barbarian strength,1,12,29
30,0.6,0.8,101.0,10.1,dwarf barbarian strength,1,12,30
31,0.8,0.4,58.0,5.8,dwarf barbarian strength,1,12,31
32,0.4,0.3,42.0,4.2,dwarf barbarian strength,1,12,32
33,0.5,0.2,38.0,3.8,dwarf barbarian strength,1,12,33
34,0.4,0.4,55.0,5.5,dwarf barbarian strength,1,12,34
35,0.6,0.5,62.0,6.2,dwarf barbarian strength,1,12,35
36,0.7,0.3,69.0,6.9,dwarf barbarian strength,1,12,36
37,0.2,0.6,40.0,4.0,dwarf barbarian strength,1,12,37
38,0.8,0.2,63.0,6.3,dwarf barbarian strength,1,12,38
39,0.4,0.5,52.0,5.2,dwarf barbarian strength,1,12,39
40,0.7,0.4,59.0,5.9,dwarf barbarian strength,1,12,40
41,0.8,0.3,66.0,6.6,dwarf barbarian strength,1,12,41
42,0.6,0.3,52.0,5.2,dwarf barbarian strength,1,12,42
43,0.8,0.5,69.0,6.9,dwarf barbarian strength,1,12,43
44,0.7,0.5,67.0,6.7,dwarf barbarian strength,1,12,44
45,0.4,0.2,33.0,3.3,dwarf barbarian strength,1,12,45
46,0.6,0.5,50.0,5.0,dwarf barbarian strength,1,12,46
47,0.5,0.4,50.0,5.0,dwarf barbarian strength,1,12,47
48,0.8,0.2,52.0,5.2,dwarf barbarian strength,1,12,48
49,0.7,0.4,63.0,6.3,dwarf barbarian strength,1,12,49
50,0.7,0.3,39.0,3.9,dwarf barbarian strength,1,12,50
51,0.6,0.2,47.0,4.7,dwarf barbarian strength,1,12,51
52,0.7,0.3,60.0,6.0,dwarf barbarian strength,1,12,52
53,0.6,0.3,37.0,3.7,dwarf barbarian strength,1,12,53
54,0.7,0.1,51.0,5.1,dwarf barbarian strength,1,12,54
55,0.5,0.3,40.0,4.0,dwarf barbarian strength,1,12,55
56,0.7,0.1,44.0,4.4,dwarf barbarian strength,1,12,56
57,0.7,0.6,76.0,7.6,dwarf barbarian strength,1,12,57
58,0.6,0.2,47.0,4.7,dwarf barbarian strength,1,12,58
59,0.5,0.4,49.0,4.9,dwarf barbarian strength,1,12,59
60,0.5,0.2,40.0,4.0,dwarf barbarian strength,1,12,60
61,0.5,0.4,69.0,6.9,dwarf barbarian strength,1,12,61
62,0.7,0.4,57.0,5.7,dwarf barbarian strength,1,12,62
63,0.8,0.5,65.0,6.5,dwarf barbarian strength,1,12,63
64,0.4,0.4,49.0,4.9,dwarf barbarian strength,1,12,64
65,0.7,0.7,94.0,9.4,dwarf barbarian strength,1,12,65
66,0.7,0.7,100.0,10.0,dwarf barbarian strength,1,12,66
67,0.9,0.6,96.0,9.6,dwarf barbarian strength,1,12,67
68,0.6,0.3,67.0,6.7,dwarf barbarian strength,1,12,68
69,0.6,0.3,58.0,5.8,dwarf barbarian strength,1,12,69
70,0.7,0.4,50.0,5.0,dwarf barbarian strength,1,12,70
71,0.6,0.5,70.0,7.0,dwarf barbarian strength,1,12,71
72,0.7,0.4,59.0,5.9,dwarf barbarian strength,1,12,72
73,0.5,0.2,46.0,4.6,dwarf barbarian strength,1,12,73
74,0.8,0.2,60.0,6.0,dwarf barbarian strength,1,12,74
75,0.3,0.2,23.0,2.3,dwarf barbarian strength,1,12,75
76,0.7,0.1,43.0,4.3,dwarf barbarian strength,1,12,76
77,0.8,0.1,61.0,6.1,dwarf barbarian strength,1,12,77
78,0.9,0.4,69.0,6.9,dwarf barbarian strength,1,12,78
79,0.9,0.5,83.0,8.3,dwarf barbarian strength,1,12,79
80,0.9,0.4,75.0,7.5,dwarf barbarian strength,1,12,80
81,0.7,0.2,56.0,5.6,dwarf barbarian strength,1,12,81
82,0.6,0.2,49.0,4.9,dwarf barbarian strength,1,12,82
83,0.7,0.4,72.0,7.2,dwarf barbarian strength,1,12,83
84,0.4,0.4,41.0,4.1,dwarf barbarian strength,1,12,84
85,0.4,0.2,37.0,3.7,dwarf barbarian strength,1,12,85
86,0.6,0.4,72.0,7.2,dwarf barbarian strength,1,12,86
87,0.5,0.3,39.0,3.9,dwarf barbarian strength,1,12,87
88,0.6,0.6,78.0,7.8,dwarf barbarian strength,1,12,88
89,0.5,0.3,44.0,4.4,dwarf barbarian strength,1,12,89
90,0.8,0.3,76.0,7.6,dwarf barbarian strength,1,12,90
91,0.8,0.4,63.0,6.3,dwarf barbarian strength,1,12,91
92,0.5,0.4,58.0,5.8,dwarf barbarian strength,1,12,92
93,0.7,0.2,71.0,7.1,dwarf barbarian strength,1,12,93
94,0.6,0.5,64.0,6.4,dwarf barbarian strength,1,12,94
95,0.5,0.6,73.0,7.3,dwarf barbarian strength,1,12,95
96,0.7,0.4,51.0,5.1,dwarf barbarian strength,1,12,96
97,0.9,0.2,71.0,7.1,dwarf barbarian strength,1,12,97
98,0.5,0.5,50.0,5.0,dwarf barbarian strength,1,12,98
99,0.4,0.6,60.0,6.0,dwarf barbarian strength,1,12,99
0,0.6,0.1,44.0,4.4,dwarf barbarian strength,1,13,0
1,0.7,0.5,79.0,7.9,dwarf barbarian strength,1,13,1
2,0.4,0.4,43.0,4.3,dwarf barbarian strength,1,13,2
3,0.5,0.3,44.0,4.4,dwarf barbarian strength,1,13,3
4,0.5,0.5,52.0,5.2,dwarf barbarian strength,1,13,4
5,0.6,0.2,44.0,4.4,dwarf barbarian strength,1,13,5
6,0.5,0.2,45.0,4.5,dwarf barbarian strength,1,13,6
7,0.8,0.5,86.0,8.6,dwarf barbarian strength,1,13,7
8,1.0,0.4,88.0,8.8,dwarf barbarian strength,1,13,8
9,0.6,0.1,40.0,4.0,dwarf barbarian strength,1,13,9
10,0.6,0.4,49.0,4.9,dwarf barbarian strength,1,13,10
11,0.3,0.4,40.0,4.0,dwarf barbarian strength,1,13,11
12,0.7,0.5,71.0,7.1,dwarf barbarian strength,1,13,12
13,0.7,0.1,50.0,5.0,dwarf barbarian strength,1,13,13
14,0.6,0.5,77.0,7.7,dwarf barbarian strength,1,13,14
15,0.8,0.1,50.0,5.0,dwarf barbarian strength,1,13,15
16,0.5,0.3,44.0,4.4,dwarf barbarian strength,1,13,16
17,0.8,0.2,55.0,5.5,dwarf barbarian strength,1,13,17
18,0.6,0.3,75.0,7.5,dwarf barbarian strength,1,13,18
19,0.7,0.2,54.0,5.4,dwarf barbarian strength,1,13,19
20,0.6,0.2,38.0,3.8,dwarf barbarian strength,1,13,20
21,0.6,0.2,56.0,5.6,dwarf barbarian strength,1,13,21
22,0.8,0.6,74.0,7.4,dwarf barbarian strength,1,13,22
23,0.6,0.2,48.0,4.8,dwarf barbarian strength,1,13,23
24,0.6,0.0,33.0,3.3,dwarf barbarian strength,1,13,24
25,0.5,0.5,57.0,5.7,dwarf barbarian strength,1,13,25
26,0.7,0.3,73.0,7.3,dwarf barbarian strength,1,13,26
27,0.9,0.3,78.0,7.8,dwarf barbarian strength,1,13,27
28,0.8,0.4,66.0,6.6,dwarf barbarian strength,1,13,28
29,0.4,0.5,56.0,5.6,dwarf barbarian strength,1,13,29
30,0.7,0.4,68.0,6.8,dwarf barbarian strength,1,13,30
31,0.4,0.1,41.0,4.1,dwarf barbarian strength,1,13,31
32,0.5,0.1,36.0,3.6,dwarf barbarian strength,1,13,32
33,0.6,0.3,50.0,5.0,dwarf barbarian strength,1,13,33
34,0.3,0.1,24.0,2.4,dwarf barbarian strength,1,13,34
35,0.3,0.4,47.0,4.7,dwarf barbarian strength,1,13,35
36,0.5,0.5,57.0,5.7,dwarf barbarian strength,1,13,36
37,0.6,0.4,73.0,7.3,dwarf barbarian strength,1,13,37
38,0.6,0.3,46.0,4.6,dwarf barbarian strength,1,13,38
39,0.7,0.3,83.0,8.3,dwarf barbarian strength,1,13,39
40,0.4,0.2,45.0,4.5,dwarf barbarian strength,1,13,40
41,0.6,0.2,40.0,4.0,dwarf barbarian strength,1,13,41
42,0.7,0.2,52.0,5.2,dwarf barbarian strength,1,13,42
43,0.4,0.3,45.0,4.5,dwarf barbarian strength,1,13,43
44,0.6,0.2,58.0,5.8,dwarf barbarian strength,1,13,44
45,0.8,0.4,73.0,7.3,dwarf barbarian strength,1,13,45
46,0.9,0.3,70.0,7.0,dwarf barbarian strength,1,13,46
47,0.5,0.2,35.0,3.5,dwarf barbarian strength,1,13,47
48,0.6,0.4,56.0,5.6,dwarf barbarian strength,1,13,48
49,0.8,0.3,56.0,5.6,dwarf barbarian strength,1,13,49
50,0.5,0.4,55.0,5.5,dwarf barbarian strength,1,13,50
51,0.6,0.4,62.0,6.2,dwarf barbarian strength,1,13,51
52,0.5,0.2,43.0,4.3,dwarf barbarian strength,1,13,52
53,0.7,0.2,48.0,4.8,dwarf barbarian strength,1,13,53
54,0.6,0.1,35.0,3.5,dwarf barbarian strength,1,13,54
55,0.4,0.3,39.0,3.9,dwarf barbarian strength,1,13,55
56,0.4,0.2,29.0,2.9,dwarf barbarian strength,1,13,56
57,0.8,0.3,68.0,6.8,dwarf barbarian strength,1,13,57
58,0.7,0.2,58.0,5.8,dwarf barbarian strength,1,13,58
59,0.5,0.4,50.0,5.0,dwarf barbarian strength,1,13,59
60,0.4,0.5,58.0,5.8,dwarf barbarian strength,1,13,60
61,0.7,0.4,53.0,5.3,dwarf barbarian strength,1,13,61
62,0.5,0.2,38.0,3.8,dwarf barbarian strength,1,13,62
63,0.6,0.2,50.0,5.0,dwarf barbarian strength,1,13,63
64,0.6,0.3,58.0,5.8,dwarf barbarian strength,1,13,64
65,0.6,0.6,72.0,7.2,dwarf barbarian strength,1,13,65
66,0.5,0.6,58.0,5.8,dwarf barbarian strength,1,13,66
67,0.7,0.1,45.0,4.5,dwarf barbarian strength,1,13,67
68,0.5,0.2,37.0,3.7,dwarf barbarian strength,1,13,68
69,0.6,0.2,53.0,5.3,dwarf barbarian strength,1,13,69
70,0.7,0.2,59.0,5.9,dwarf barbarian strength,1,13,70
71,0.5,0.4,52.0,5.2,dwarf barbarian strength,1,13,71
72,0.8,0.3,62.0,6.2,dwarf barbarian strength,1,13,72
73,0.4,0.1,29.0,2.9,dwarf barbarian strength,1,13,73
74,0.5,0.2,41.0,4.1,dwarf barbarian strength,1,13,74
75,0.2,0.3,18.0,1.8,dwarf barbarian strength,1,13,75
76,0.4,0.4,55.0,5.5,dwarf barbarian strength,1,13,76
77,0.4,0.1,28.0,2.8,dwarf barbarian strength,1,13,77
78,0.5,0.2,49.0,4.9,dwarf barbarian strength,1,13,78
79,0.5,0.1,31.0,3.1,dwarf barbarian strength,1,13,79
80,0.7,0.2,55.0,5.5,dwarf barbarian strength,1,13,80
81,0.7,0.3,57.0,5.7,dwarf barbarian strength,1,13,81
82,0.3,0.4,40.0,4.0,dwarf barbarian strength,1,13,82
83,0.6,0.3,56.0,5.6,dwarf barbarian strength,1,13,83
84,0.8,0.3,64.0,6.4,dwarf barbarian strength,1,13,84
85,0.6,0.2,58.0,5.8,dwarf barbarian strength,1,13,85
86,0.7,0.5,52.0,5.2,dwarf barbarian strength,1,13,86
87,0.5,0.5,68.0,6.8,dwarf barbarian strength,1,13,87
88,0.8,0.1,47.0,4.7,dwarf barbarian strength,1,13,88
89,0.6,0.3,65.0,6.5,dwarf barbarian strength,1,13,89
90,0.5,0.2,43.0,4.3,dwarf barbarian strength,1,13,90
91,0.6,0.3,57.0,5.7,dwarf barbarian strength,1,13,91
92,0.8,0.4,69.0,6.9,dwarf barbarian strength,1,13,92
93,0.9,0.2,65.0,6.5,dwarf barbarian strength,1,13,93
94,0.6,0.1,38.0,3.8,dwarf barbarian strength,1,13,94
95,0.4,0.4,48.0,4.8,dwarf barbarian strength,1,13,95
96,0.5,0.5,54.0,5.4,dwarf barbarian strength,1,13,96
