,build,level,action,attack_roll_result,attack modifier,penalties,dmg_dice,damage_type,damage_output,target_ac,crit_ac
59,elf barbarian strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
60,elf barbarian strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
61,elf barbarian strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
62,elf barbarian strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
63,elf barbarian strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
64,elf barbarian strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
65,elf barbarian strength,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
66,elf barbarian strength,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
67,elf barbarian strength,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
68,elf fighter strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
69,elf fighter strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
70,elf fighter strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
71,elf fighter strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
72,elf fighter strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
73,elf fighter strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
74,elf fighter strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
75,elf fighter strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
76,elf fighter strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
77,elf fighter strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
78,elf fighter strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
79,elf fighter strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
80,elf fighter strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
81,elf fighter strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
82,elf fighter strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
83,elf fighter strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
84,elf fighter strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
85,elf fighter strength,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
86,elf fighter strength,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
87,elf fighter strength,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
88,elf fighter   dexterity,1,dex 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,14.0,24.0
89,elf fighter   dexterity,1,dex 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,14.0,24.0
90,elf fighter   dexterity,1,dex 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,14.0,24.0
91,elf fighter   dexterity,1,dex 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,14.0,24.0
92,elf fighter   dexterity,1,dex 1d10 melee attack 1,random_roll,5.0,0,10,melee,3.0,14.0,24.0
93,elf fighter   dexterity,1,dex 1d10 melee attack 2,random_roll,5.0,5,10,melee,3.0,14.0,24.0
94,elf fighter   dexterity,1,dex 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,14.0,24.0
95,elf fighter   dexterity,1,dex 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,14.0,24.0
96,elf fighter   dexterity,1,dex 1d12 melee attack 1,random_roll,5.0,0,12,melee,3.0,14.0,24.0
97,elf fighter   dexterity,1,dex 1d12 melee attack 2,random_roll,5.0,5,12,melee,3.0,14.0,24.0
98,elf rogue dexterity,1,dex 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,14.0,24.0
99,elf rogue dexterity,1,dex 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,14.0,24.0
100,elf rogue dexterity,1,dex 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,14.0,24.0
101,elf rogue dexterity,1,dex 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,14.0,24.0
102,elf rogue dexterity,1,dex 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,14.0,24.0
103,elf rogue dexterity,1,dex 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,14.0,24.0
104,elf sorcerer charisma,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,12.0,22.0
105,elf sorcerer charisma,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,12.0,22.0
106,elf sorcerer charisma,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,12.0,22.0
107,elf sorcerer charisma,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,12.0,22.0
108,elf sorcerer charisma,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,12.0,22.0
109,elf sorcerer charisma,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,12.0,22.0
110,halfling barbarian strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
111,halfling barbarian strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
112,halfling barbarian strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
113,halfling barbarian strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
114,halfling barbarian strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
115,halfling barbarian strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
116,halfling barbarian strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,13.0,23.0
117,halfling barbarian strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,13.0,23.0
118,halfling barbarian strength,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,13.0,23.0
119,halfling barbarian strength,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,13.0,23.0
120,halfling fighter strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
121,halfling fighter strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
122,halfling fighter strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
123,halfling fighter strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
124,halfling fighter strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,13.0,23.0
125,halfling fighter strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,13.0,23.0
126,halfling fighter strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
127,halfling fighter strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
128,halfling fighter strength,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,13.0,23.0
129,halfling fighter strength,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,13.0,23.0
130,halfling fighter   dexterity,1,dex 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,14.0,24.0
131,halfling fighter   dexterity,1,dex 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,14.0,24.0
132,halfling fighter   dexterity,1,dex 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,14.0,24.0
133,halfling fighter   dexterity,1,dex 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,14.0,24.0
134,halfling fighter   dexterity,1,dex 1d10 melee attack 1,random_roll,5.0,0,10,melee,3.0,14.0,24.0
135,halfling fighter   dexterity,1,dex 1d10 melee attack 2,random_roll,5.0,5,10,melee,3.0,14.0,24.0
136,halfling fighter   dexterity,1,dex 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,14.0,24.0
137,halfling fighter   dexterity,1,dex 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,14.0,24.0
138,halfling fighter   dexterity,1,dex 1d12 melee attack 1,random_roll,5.0,0,12,melee,3.0,14.0,24.0
139,halfling fighter   dexterity,1,dex 1d12 melee attack 2,random_roll,5.0,5,12,melee,3.0,14.0,24.0
140,halfling rogue dexterity,1,dex 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,14.0,24.0
141,halfling rogue dexterity,1,dex 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,14.0,24.0
142,halfling rogue dexterity,1,dex 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,14.0,24.0
143,halfling rogue dexterity,1,dex 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,14.0,24.0
144,halfling rogue dexterity,1,dex 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,14.0,24.0
145,halfling rogue dexterity,1,dex 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,14.0,24.0
146,halfling sorcerer charisma,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,12.0,22.0
147,halfling sorcerer charisma,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,12.0,22.0
148,halfling sorcerer charisma,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,12.0,22.0
149,halfling sorcerer charisma,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,12.0,22.0
150,halfling sorcerer charisma,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,12.0,22.0
151,halfling sorcerer charisma,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,12.0,22.0
152,human-str barbarian strength,1,str 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,13.0,23.0
153,human-str barbarian strength,1,str 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,13.0,23.0
154,human-str barbarian strength,1,str 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,13.0,23.0
155,human-str barbarian strength,1,str 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,13.0,23.0
156,human-str barbarian strength,1,str 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,13.0,23.0
157,human-str barbarian strength,1,str 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,13.0,23.0
158,human-str barbarian strength,1,str 1d10 melee attack 1,random_roll,5.0,0,10,melee,3.0,13.0,23.0
159,human-str barbarian strength,1,str 1d10 melee attack 2,random_roll,5.0,5,10,melee,3.0,13.0,23.0
160,human-str barbarian strength,1,str 1d12 melee attack 1,random_roll,5.0,0,12,melee,3.0,13.0,23.0
161,human-str barbarian strength,1,str 1d12 melee attack 2,random_roll,5.0,5,12,melee,3.0,13.0,23.0
162,human-str fighter strength,1,str 1d4 melee attack 1,random_roll,5.0,0,4,melee,3.0,13.0,23.0
163,human-str fighter strength,1,str 1d4 melee attack 2,random_roll,5.0,5,4,melee,3.0,13.0,23.0
164,human-str fighter strength,1,str 1d8 melee attack 1,random_roll,5.0,0,8,melee,3.0,13.0,23.0
165,human-str fighter strength,1,str 1d8 melee attack 2,random_roll,5.0,5,8,melee,3.0,13.0,23.0
166,human-str fighter strength,1,str 1d10 melee attack 1,random_roll,5.0,0,10,melee,3.0,13.0,23.0
167,human-str fighter strength,1,str 1d10 melee attack 2,random_roll,5.0,5,10,melee,3.0,13.0,23.0
168,human-str fighter strength,1,str 1d6 melee attack 1,random_roll,5.0,0,6,melee,3.0,13.0,23.0
169,human-str fighter strength,1,str 1d6 melee attack 2,random_roll,5.0,5,6,melee,3.0,13.0,23.0
170,human-str fighter strength,1,str 1d12 melee attack 1,random_roll,5.0,0,12,melee,3.0,13.0,23.0
171,human-str fighter strength,1,str 1d12 melee attack 2,random_roll,5.0,5,12,melee,3.0,13.0,23.0
172,human-str fighter   dexterity,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
173,human-str fighter   dexterity,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
174,human-str fighter   dexterity,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
175,human-str fighter   dexterity,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
176,human-str fighter   dexterity,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
177,human-str fighter   dexterity,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
178,human-str fighter   dexterity,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
179,human-str fighter   dexterity,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
180,human-str fighter   dexterity,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
181,human-str fighter   dexterity,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
182,human-str fighter   dexterity,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
183,human-str fighter   dexterity,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
184,human-str fighter   dexterity,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
185,human-str fighter   dexterity,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
186,human-str fighter   dexterity,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
187,human-str fighter   dexterity,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
188,human-str fighter   dexterity,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
189,human-str fighter   dexterity,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
190,human-str fighter   dexterity,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
191,human-str fighter   dexterity,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
192,human-str rogue dexterity,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
193,human-str rogue dexterity,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
194,human-str rogue dexterity,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
195,human-str rogue dexterity,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
196,human-str rogue dexterity,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
197,human-str rogue dexterity,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
198,human-str rogue dexterity,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
199,human-str rogue dexterity,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
200,human-str rogue dexterity,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
201,human-str rogue dexterity,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
202,human-str rogue dexterity,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
203,human-str rogue dexterity,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
204,human-str sorcerer charisma,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,11.0,21.0
205,human-str sorcerer charisma,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,11.0,21.0
206,human-str sorcerer charisma,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,11.0,21.0
207,human-str sorcerer charisma,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,11.0,21.0
208,human-str sorcerer charisma,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,11.0,21.0
209,human-str sorcerer charisma,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,11.0,21.0
210,human-dex barbarian strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
211,human-dex barbarian strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
212,human-dex barbarian strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
213,human-dex barbarian strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
214,human-dex barbarian strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
215,human-dex barbarian strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
216,human-dex barbarian strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
217,human-dex barbarian strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
218,human-dex barbarian strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
219,human-dex barbarian strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
220,human-dex barbarian strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
221,human-dex barbarian strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
222,human-dex barbarian strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
223,human-dex barbarian strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
224,human-dex barbarian strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
225,human-dex barbarian strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
226,human-dex barbarian strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
227,human-dex barbarian strength,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
228,human-dex barbarian strength,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
229,human-dex barbarian strength,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,14.0,24.0
230,human-dex fighter strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
231,human-dex fighter strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
232,human-dex fighter strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
233,human-dex fighter strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
234,human-dex fighter strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
235,human-dex fighter strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
236,human-dex fighter strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
237,human-dex fighter strength,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
238,human-dex fighter strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
239,human-dex fighter strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
240,human-dex fighter strength,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,14.0,24.0
241,human-dex fighter strength,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,14.0,24.0
242,human-dex fighter strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
243,human-dex fighter strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
244,human-dex fighter strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
245,human-dex fighter strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
246,human-dex fighter strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,14.0,24.0
