,name,school,subschool,spell_level,casting_time,range,area,effect,targets,duration,saving_throw,spell_resistance,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,bloodline,patron
10,Animal Messenger,enchantment,compulsion,"bard 2, druid 2, ranger 1, shaman 2, psychic 2, mesmerist 2",1 minute,close (25 ft. + 5 ft./2 levels),,,one Tiny animal,1 day/level,none; see text,yes,,,,2.0,1.0,2.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
11,Animal Shapes,transmutation,polymorph,"druid 8, shaman 8",1 standard action,close (25 ft. + 5 ft./2 levels),,,"up to one willing creature per level, all within 30 ft. of each other.",1 hour/level,none; see text,yes (harmless),,,,8.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Agility (16), Animals (16)"
12,Animal Trance,enchantment,compulsion,"bard 2, druid 2, psychic 2, mesmerist 2",1 standard action,close (25 ft. + 5 ft./2 levels),,,animals or magical beasts with Intelligence 1 or 2,concentration,Will negates,yes,,,,2.0,,2.0,,,,,,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
13,Animate Dead,necromancy,,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",1 standard action,touch,,,one or more corpses touched,instantaneous,none,no,4.0,4.0,3.0,,,,,,,,,3.0,3.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Undead (9),Plague (8)
14,Animate Objects,transmutation,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",1 standard action,medium (100 ft. + 10 ft./level),,,one Small object per caster level; see text,1 round/level,none,no,,,6.0,,,6.0,,,,6.0,,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Impossible (13),
15,Animate Plants,transmutation,,"druid 7, shaman 7",1 standard action,close (25 ft. + 5 ft./2 levels),,,one Large plant per three caster levels or all plants within  range; see text,1 round/level or 1 hour/level; see text,none,no,,,,7.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Verdant (17),Plant (14)
16,Animate Rope,transmutation,,"bard 1, sorcerer/wizard 1, psychic 1, mesmerist 1",1 standard action,medium (100 ft. + 10 ft./level),,,"one rope-like object, length up to 50 ft. + 5 ft./level; see text",1 round/level,none,no,1.0,1.0,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Trickery (2)
17,Antilife Shell,abjuration,,"cleric/oracle 6, druid 6, shaman 6, psychic 6",1 round,10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,none,yes,,,6.0,6.0,,,,,,,,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Animals (12)
18,Antimagic Field,abjuration,,"cleric/oracle 8, sorcerer/wizard 6, occultist 6, psychic 7",1 standard action,10 ft.,"10-ft.-radius emanation, centered on you",,,10 min./level (D),none,see text,6.0,6.0,8.0,,,,,,,,,8.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19,Antipathy,enchantment,compulsion,"druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,Will partial,yes,8.0,8.0,,9.0,,,,,6.0,8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Peace (18)
20,Antiplant Shell,abjuration,,druid 4,1 standard action,10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,none,yes,,,,4.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,Arcane Eye,divination,scrying,"sorcerer/wizard 4, witch 4, alchemist 4, occultist 4, psychic 4, mesmerist 4",10 minutes,unlimited,,magical sensor,,1 min./level,none,no,4.0,4.0,,,,,,4.0,,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
22,Arcane Lock,abjuration,,"sorcerer/wizard 2, occultist 2",1 standard action,touch,,,"door, chest, or portal touched, up to 30 sq. ft./level in size",permanent,none,no,2.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23,Arcane Mark,universal,,"sorcerer/wizard 0, summoner/unchained summoner 0, magus 0, shaman 0, psychic 0",1 standard action,touch,,"one personal rune or mark, all of which must fit within 1 sq. ft.",,permanent,none,no,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
24,Arcane Sight,divination,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,personal,,,you,1 min./level,,,3.0,3.0,,,,,,3.0,,3.0,3.0,,,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25,"Arcane Sight, Greater",divination,,"sorcerer/wizard 7, witch 7, psychic 7",1 standard action,personal,,,you,1 min./level,,,7.0,7.0,,,,,,,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
26,Astral Projection,necromancy,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",30 minutes,touch,,,you plus one additional willing creature touched per two caster levels,see text,none,yes,9.0,9.0,9.0,,,,,,,9.0,,9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dreamspun (19),Stars (18)
27,Atonement,abjuration,,"cleric/oracle 5, druid 5, inquisitor 5",1 hour,touch,,,living creature touched,instantaneous,none,yes,,,5.0,5.0,,,,,,,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
28,Augury,divination,,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2",1 minute,personal,,,you,instantaneous,,,,,2.0,,,,,,,2.0,,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dreamspun (5), Harrow (5)",
29,Awaken,transmutation,,"druid 5, shaman 6",24 hours,touch,,,animal or tree touched,instantaneous,Will negates,yes,,,,5.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
30,Bane,enchantment,compulsion,"antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",1 standard action,50 ft.,"50-ft.-radius burst, centered on you",,,1 min./level,Will negates,yes,,,1.0,,,,,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
31,Banishment,abjuration,,"cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6",1 standard action,close (25 ft. + 5 ft./2 levels),,,"one or more extraplanar creatures, no two of which can be more than 30 ft. apart",instantaneous,Will negates,yes,7.0,7.0,6.0,,,,,,5.0,,5.0,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celestial (15),"Boundaries (12), Dimensions (14)"
32,Barkskin,transmutation,,"druid 2, ranger 2, summoner/unchained summoner 2, alchemist 2, shaman 2",1 standard action,touch,,,living creature touched,10 min./level,none,yes (harmless),,,,2.0,2.0,,,2.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Verdant (5),
33,Bear's Endurance,transmutation,,"cleric/oracle 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,touch,,,creature touched,1 min./level,Will negates (harmless),yes,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Endurance (4), Transformation (4)"
34,"Bear's Endurance, Mass",transmutation,,"cleric/oracle 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, shaman 6, psychic 6, unchained summoner 6",1 standard action,close (25 ft. + 5 ft./2 levels),,,"creature one creature/level, no two of which can be more than 30 ft. apart",1 min./level,Will negates (harmless),yes,6.0,6.0,6.0,6.0,,,,,4.0,,,6.0,,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Endurance (12)
35,Beast Shape I,transmutation,polymorph,"sorcerer/wizard 3, alchemist 3, magus 3, bloodrager 3",1 standard action,personal,,,you,1 min./level,,,3.0,3.0,,,,,,3.0,,,,,,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Transformation (6)
36,Beast Shape II,transmutation,polymorph,"sorcerer/wizard 4, alchemist 4, magus 4, bloodrager 4",1 standard action,personal,,,you,1 min./level,,,4.0,4.0,,,,,,4.0,,,,,,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Transformation (8)
37,Beast Shape III,transmutation,polymorph,"sorcerer/wizard 5, alchemist 5, magus 5",1 standard action,personal,,,you,1 min./level,,,5.0,5.0,,,,,,5.0,,,,,,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Transformation (10)
38,Beast Shape IV,transmutation,polymorph,"sorcerer/wizard 6, alchemist 6, magus 6",1 standard action,personal,,,you,1 min./level,,,6.0,6.0,,,,,,6.0,,,,,,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aquatic (13),Animals (14)
39,Bestow Curse,necromancy,,"cleric/oracle 3, sorcerer/wizard 4, witch 3, antipaladin 3, bloodrager 4, shaman 3, occultist 3, mesmerist 3, spiritualist 3, medium 2",1 standard action,touch,,,creature touched,permanent,Will negates,yes,4.0,4.0,3.0,,,,,,,3.0,,3.0,3.0,,3.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Accursed (9), Div (9)",
40,Binding,enchantment,compulsion,"sorcerer/wizard 8, summoner/unchained summoner 6, psychic 8",1 minute,close (25 ft. + 5 ft./2 levels),,,one living creature,see text,Will negates; see text,yes,8.0,8.0,,,,,,,6.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
41,Black Tentacles,conjuration,creation,"sorcerer/wizard 4, witch 4, summoner 3, magus 4, bloodrager 4, psychic 4, spiritualist 4, unchained summoner 4",1 standard action,medium (100 ft. + 10 ft./level),20-ft.-radius spread,,,1 round/level (D),none,no,4.0,4.0,,,,,,,3.0,4.0,,,,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aberrant (Sorcerer) (9), Aberrant (BloodRager) (16)",Occult (8)
42,Blade Barrier,evocation,,"cleric/oracle 6, inquisitor 6, occultist 6, psychic 6",1 standard action,medium (100 ft. + 10 ft./level),,"wall of whirling blades up to 20 ft. long/level, or a ringed wall of whirling blades with a radius of up to 5 ft. per two levels; either form is 20 ft. high",,1 min./level (D),Reflex half or Reflex negates; see text,yes,,,6.0,,,,,,,,6.0,6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Thorns (12)
43,Blasphemy,evocation,,"cleric/oracle 7, inquisitor 6",1 standard action,40 ft.,nonevil creatures in a 40-ft.-radius spread centered on you,,,instantaneous,Will partial,yes,,,7.0,,,,,,,,6.0,7.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
44,Bleed,necromancy,,"cleric/oracle 0, inquisitor 0, sorcerer/wizard 0, witch 0, shaman 0, occultist 0, psychic 0, mesmerist 0, spiritualist 0, medium 0",1 standard action,close (25 ft. + 5 ft./2 levels),,,one living creature,instantaneous,Will negates,yes,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
45,Bless,enchantment,compulsion,"cleric/oracle 1, paladin 1, inquisitor 1, shaman 1",1 standard action,50 ft.,"The caster and all allies within a 50-ft. burst, centered on the caster",,,1 min./level,none,yes (harmless),,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Celestial (3),Ancestors (2)
46,Bless Water,transmutation,,"cleric/oracle 1, paladin 1, inquisitor 1",1 minute,touch,,,flask of water touched,instantaneous,Will negates (object),yes (object),,,1.0,,,,1.0,,,,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Water (2)
47,Bless Weapon,transmutation,,paladin 1,1 standard action,touch,,,weapon touched,1 min./level,none,no,,,,,,,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
48,Blight,necromancy,,"druid 4, sorcerer/wizard 5, witch 5, shaman 5",1 standard action,touch,,,plant touched,instantaneous,Fortitude half; see text,yes,5.0,5.0,,4.0,,,,,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daemon (11),
49,Blindness/Deafness,necromancy,,"antipaladin 2, bard 2, cleric/oracle 3, sorcerer/wizard 2, witch 2, bloodrager 2, shaman 3, psychic 2, mesmerist 2, spiritualist 3",1 standard action,medium (100 ft. + 10 ft./level),,,one living creature,permanent (D),Fortitude negates,yes,2.0,2.0,3.0,,,2.0,,,,2.0,,3.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
50,Blink,transmutation,,"bard 3, sorcerer/wizard 3, magus 3, psychic 3",1 standard action,personal,,,you,1 round/level (D),,,3.0,3.0,,,,3.0,,,,,,,,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Starsoul (7),"Deception (6), Dimensions (6)"
51,Blur,illusion,glamer,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",1 standard action,touch,,,creature touched,1 min./level,Will negates (harmless),yes (harmless),2.0,2.0,,,,2.0,,2.0,2.0,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Destined (5), Protean (5)",
52,Break Enchantment,abjuration,,"bard 4, cleric/oracle 5, paladin 4, sorcerer/wizard 5, witch 5, inquisitor 5, shaman 5, occultist 4, psychic 4, mesmerist 4, spiritualist 5, medium 4",1 minute,close (25 ft. + 5 ft./2 levels),,,"up to one creature per level, all within 30 ft. of each other",instantaneous,see text,no,5.0,5.0,5.0,,,4.0,4.0,,,5.0,5.0,5.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Destined (11),
53,Breath Of Life,conjuration,healing,"cleric/oracle 5, shaman 5, spiritualist 5",1 standard action,touch,,,creature touched,instantaneous,"Will negates (harmless) or Will half, see text","yes (harmless) or yes, see text",,,5.0,,,,,,,,,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
54,Bull's Strength,transmutation,,"cleric/oracle 2, druid 2, paladin 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, antipaladin 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",1 standard action,touch,,,creature touched,1 min./level,Will negates (harmless),yes (harmless),2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Abyssal (5), Orc (5)",Strength (4)
55,"Bull's Strength, Mass",transmutation,,"cleric/oracle 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, shaman 6, psychic 6, unchained summoner 6",1 standard action,close (25 ft. + 5 ft./2 levels),,,"one creature/level, no two of which can be more than 30 ft. apart",1 min./level,Will negates (harmless),yes (harmless),6.0,6.0,6.0,6.0,,,,,4.0,,,6.0,,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Devotion (12), Strength (12)"
