,attack_sucess_1,attack_sucess_2,total_dmg,avg_dmg,attack_crit_status_1,attack_crit_status_2,build_name,build_level,target_ac,encounter_num,ancestry,class_build
17,0.4,0.0,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,15,17,dwarf,barbarian
18,0.6,0.2,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,15,18,dwarf,barbarian
19,0.6,0.2,28.0,5.6,0.0,0.0,dwarf barbarian strength,1,15,19,dwarf,barbarian
0,0.4,0.6,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,16,0,dwarf,barbarian
1,0.6,0.2,24.0,4.8,0.0,0.0,dwarf barbarian strength,1,16,1,dwarf,barbarian
2,0.4,0.4,15.0,3.0,0.0,0.0,dwarf barbarian strength,1,16,2,dwarf,barbarian
3,0.4,0.2,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,16,3,dwarf,barbarian
4,0.2,0.2,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,16,4,dwarf,barbarian
5,0.2,0.0,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,16,5,dwarf,barbarian
6,0.8,0.2,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,16,6,dwarf,barbarian
7,0.0,0.2,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,16,7,dwarf,barbarian
8,0.8,0.2,35.0,7.0,0.0,0.0,dwarf barbarian strength,1,16,8,dwarf,barbarian
9,0.2,0.2,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,16,9,dwarf,barbarian
10,0.4,0.0,22.0,4.4,0.0,0.0,dwarf barbarian strength,1,16,10,dwarf,barbarian
11,1.0,0.0,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,16,11,dwarf,barbarian
12,0.6,0.2,20.0,4.0,0.0,0.0,dwarf barbarian strength,1,16,12,dwarf,barbarian
13,0.0,0.2,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,16,13,dwarf,barbarian
14,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,16,14,dwarf,barbarian
15,1.0,0.4,42.0,8.4,0.0,0.0,dwarf barbarian strength,1,16,15,dwarf,barbarian
16,0.6,0.2,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,16,16,dwarf,barbarian
17,0.4,0.0,10.0,2.0,0.0,0.0,dwarf barbarian strength,1,16,17,dwarf,barbarian
18,0.4,0.0,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,16,18,dwarf,barbarian
19,0.2,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,16,19,dwarf,barbarian
0,0.8,0.2,27.0,5.4,0.0,0.0,dwarf barbarian strength,1,17,0,dwarf,barbarian
1,0.8,0.0,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,17,1,dwarf,barbarian
2,0.2,0.2,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,17,2,dwarf,barbarian
3,0.2,0.2,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,17,3,dwarf,barbarian
4,0.6,0.0,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,17,4,dwarf,barbarian
5,0.4,0.0,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,17,5,dwarf,barbarian
6,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,17,6,dwarf,barbarian
7,0.2,0.2,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,17,7,dwarf,barbarian
8,0.4,0.6,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,17,8,dwarf,barbarian
9,0.2,0.0,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,17,9,dwarf,barbarian
10,0.8,0.0,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,17,10,dwarf,barbarian
11,0.2,0.2,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,17,11,dwarf,barbarian
12,0.0,0.6,27.0,5.4,0.0,0.0,dwarf barbarian strength,1,17,12,dwarf,barbarian
13,0.2,0.0,10.0,2.0,0.0,0.0,dwarf barbarian strength,1,17,13,dwarf,barbarian
14,0.2,0.2,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,17,14,dwarf,barbarian
15,0.4,0.0,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,17,15,dwarf,barbarian
16,0.4,0.0,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,17,16,dwarf,barbarian
17,0.4,0.2,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,17,17,dwarf,barbarian
18,0.4,0.0,6.0,1.2,0.0,0.0,dwarf barbarian strength,1,17,18,dwarf,barbarian
19,0.4,0.0,15.0,3.0,0.0,0.0,dwarf barbarian strength,1,17,19,dwarf,barbarian
0,0.4,0.2,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,18,0,dwarf,barbarian
1,0.2,0.2,9.0,1.8,0.0,0.0,dwarf barbarian strength,1,18,1,dwarf,barbarian
2,0.6,0.4,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,18,2,dwarf,barbarian
3,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,18,3,dwarf,barbarian
4,0.4,0.2,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,18,4,dwarf,barbarian
5,0.4,0.0,9.0,1.8,0.0,0.0,dwarf barbarian strength,1,18,5,dwarf,barbarian
6,0.4,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,18,6,dwarf,barbarian
7,0.4,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,18,7,dwarf,barbarian
8,0.6,0.2,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,18,8,dwarf,barbarian
9,0.8,0.2,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,18,9,dwarf,barbarian
10,0.4,0.0,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,18,10,dwarf,barbarian
11,0.2,0.2,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,18,11,dwarf,barbarian
12,0.4,0.0,10.0,2.0,0.0,0.0,dwarf barbarian strength,1,18,12,dwarf,barbarian
13,0.4,0.0,9.0,1.8,0.0,0.0,dwarf barbarian strength,1,18,13,dwarf,barbarian
14,0.4,0.2,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,18,14,dwarf,barbarian
15,0.4,0.2,15.0,3.0,0.0,0.0,dwarf barbarian strength,1,18,15,dwarf,barbarian
16,0.4,0.2,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,18,16,dwarf,barbarian
17,0.4,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,18,17,dwarf,barbarian
18,0.4,0.0,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,18,18,dwarf,barbarian
19,0.0,0.4,9.0,1.8,0.0,0.0,dwarf barbarian strength,1,18,19,dwarf,barbarian
0,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,19,0,dwarf,barbarian
1,0.4,0.0,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,19,1,dwarf,barbarian
2,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,19,2,dwarf,barbarian
3,0.4,0.0,15.0,3.0,0.0,0.0,dwarf barbarian strength,1,19,3,dwarf,barbarian
4,0.4,0.0,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,19,4,dwarf,barbarian
5,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,19,5,dwarf,barbarian
6,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,19,6,dwarf,barbarian
7,0.2,0.2,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,19,7,dwarf,barbarian
8,0.6,0.0,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,19,8,dwarf,barbarian
9,0.6,0.0,20.0,4.0,0.0,0.0,dwarf barbarian strength,1,19,9,dwarf,barbarian
10,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,19,10,dwarf,barbarian
11,0.6,0.0,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,19,11,dwarf,barbarian
12,0.4,0.2,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,19,12,dwarf,barbarian
13,0.2,0.2,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,19,13,dwarf,barbarian
14,0.4,0.0,6.0,1.2,0.0,0.0,dwarf barbarian strength,1,19,14,dwarf,barbarian
15,0.6,0.0,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,19,15,dwarf,barbarian
16,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,19,16,dwarf,barbarian
17,0.6,0.2,22.0,4.4,0.0,0.0,dwarf barbarian strength,1,19,17,dwarf,barbarian
18,0.6,0.2,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,19,18,dwarf,barbarian
19,0.6,0.0,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,19,19,dwarf,barbarian
0,0.4,0.4,53.0,10.6,0.0,0.4,dwarf barbarian strength,1,20,0,dwarf,barbarian
1,0.4,0.0,14.0,2.8,0.0,0.0,dwarf barbarian strength,1,20,1,dwarf,barbarian
2,0.6,0.4,44.0,8.8,0.0,0.4,dwarf barbarian strength,1,20,2,dwarf,barbarian
3,0.4,0.0,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,20,3,dwarf,barbarian
4,0.4,0.0,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,20,4,dwarf,barbarian
5,0.2,0.0,10.0,2.0,0.0,0.0,dwarf barbarian strength,1,20,5,dwarf,barbarian
6,0.2,0.2,20.0,4.0,0.0,0.2,dwarf barbarian strength,1,20,6,dwarf,barbarian
7,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,20,7,dwarf,barbarian
8,0.6,0.2,35.0,7.0,0.0,0.2,dwarf barbarian strength,1,20,8,dwarf,barbarian
9,0.2,0.2,21.0,4.2,0.0,0.2,dwarf barbarian strength,1,20,9,dwarf,barbarian
10,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,20,10,dwarf,barbarian
11,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,20,11,dwarf,barbarian
12,0.6,0.0,11.0,2.2,0.0,0.0,dwarf barbarian strength,1,20,12,dwarf,barbarian
13,0.2,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,20,13,dwarf,barbarian
14,0.4,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,20,14,dwarf,barbarian
15,0.6,0.0,16.0,3.2,0.0,0.0,dwarf barbarian strength,1,20,15,dwarf,barbarian
16,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,20,16,dwarf,barbarian
17,0.2,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,20,17,dwarf,barbarian
18,0.2,0.2,20.0,4.0,0.0,0.2,dwarf barbarian strength,1,20,18,dwarf,barbarian
19,0.4,0.0,9.0,1.8,0.0,0.0,dwarf barbarian strength,1,20,19,dwarf,barbarian
0,0.2,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,21,0,dwarf,barbarian
1,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,1,dwarf,barbarian
2,0.2,0.2,18.0,3.6,0.0,0.2,dwarf barbarian strength,1,21,2,dwarf,barbarian
3,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,21,3,dwarf,barbarian
4,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,4,dwarf,barbarian
5,0.2,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,21,5,dwarf,barbarian
6,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,6,dwarf,barbarian
7,0.4,0.0,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,21,7,dwarf,barbarian
8,0.6,0.2,24.0,4.8,0.0,0.2,dwarf barbarian strength,1,21,8,dwarf,barbarian
9,0.4,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,21,9,dwarf,barbarian
10,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,21,10,dwarf,barbarian
11,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,11,dwarf,barbarian
12,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,12,dwarf,barbarian
13,0.0,0.2,16.0,3.2,0.0,0.2,dwarf barbarian strength,1,21,13,dwarf,barbarian
14,0.4,0.2,20.0,4.0,0.0,0.2,dwarf barbarian strength,1,21,14,dwarf,barbarian
15,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,21,15,dwarf,barbarian
16,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,16,dwarf,barbarian
17,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,17,dwarf,barbarian
18,0.4,0.0,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,21,18,dwarf,barbarian
19,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,21,19,dwarf,barbarian
0,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,0,dwarf,barbarian
1,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,1,dwarf,barbarian
2,0.2,0.0,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,22,2,dwarf,barbarian
3,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,3,dwarf,barbarian
4,0.2,0.0,6.0,1.2,0.0,0.0,dwarf barbarian strength,1,22,4,dwarf,barbarian
5,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,22,5,dwarf,barbarian
6,0.2,0.2,16.0,3.2,0.0,0.2,dwarf barbarian strength,1,22,6,dwarf,barbarian
7,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,7,dwarf,barbarian
8,0.2,0.2,11.0,2.2,0.0,0.2,dwarf barbarian strength,1,22,8,dwarf,barbarian
9,0.4,0.0,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,22,9,dwarf,barbarian
10,0.0,0.2,13.0,2.6,0.0,0.2,dwarf barbarian strength,1,22,10,dwarf,barbarian
11,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,11,dwarf,barbarian
12,0.0,0.2,13.0,2.6,0.0,0.2,dwarf barbarian strength,1,22,12,dwarf,barbarian
13,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,13,dwarf,barbarian
14,0.2,0.0,6.0,1.2,0.0,0.0,dwarf barbarian strength,1,22,14,dwarf,barbarian
15,0.2,0.0,4.0,0.8,0.0,0.0,dwarf barbarian strength,1,22,15,dwarf,barbarian
16,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,16,dwarf,barbarian
17,0.2,0.2,22.0,4.4,0.0,0.2,dwarf barbarian strength,1,22,17,dwarf,barbarian
18,0.2,0.2,28.0,5.6,0.0,0.2,dwarf barbarian strength,1,22,18,dwarf,barbarian
19,0.0,0.0,0.0,0.0,0.0,0.0,dwarf barbarian strength,1,22,19,dwarf,barbarian
0,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,23,0,dwarf,barbarian
